Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Tue Dec 12 2023,7:30p,Los Angeles Lakers,,Dallas Mavericks,,,,,American Airlines Center,
Tue Dec 12 2023,8:00p,Denver Nuggets,,Chicago Bulls,,,,,United Center,
Tue Dec 12 2023,10:00p,Golden State Warriors,,Phoenix Suns,,,,,Footprint Center,
Tue Dec 12 2023,10:30p,Sacramento Kings,,Los Angeles Clippers,,,,,Crypto.com Arena,
Wed Dec 13 2023,7:00p,Philadelphia 76ers,,Detroit Pistons,,,,,Little Caesars Arena,
Wed Dec 13 2023,7:00p,New Orleans Pelicans,,Washington Wizards,,,,,Capital One Arena,
Wed Dec 13 2023,7:30p,Charlotte Hornets,,Miami Heat,,,,,Kaseya Center,
Wed Dec 13 2023,7:30p,Atlanta Hawks,,Toronto Raptors,,,,,Scotiabank Arena,
Wed Dec 13 2023,8:00p,Memphis Grizzlies,,Houston Rockets,,,,,Toyota Center,
Wed Dec 13 2023,8:00p,Indiana Pacers,,Milwaukee Bucks,,,,,Fiserv Forum,
Wed Dec 13 2023,8:00p,Los Angeles Lakers,,San Antonio Spurs,,,,,Frost Bank Center,
Wed Dec 13 2023,9:00p,Brooklyn Nets,,Phoenix Suns,,,,,Footprint Center,
Wed Dec 13 2023,9:00p,New York Knicks,,Utah Jazz,,,,,Delta Center,
Thu Dec 14 2023,7:30p,Cleveland Cavaliers,,Boston Celtics,,,,,TD Garden,
Thu Dec 14 2023,7:30p,Chicago Bulls,,Miami Heat,,,,,Kaseya Center,
Thu Dec 14 2023,8:30p,Minnesota Timberwolves,,Dallas Mavericks,,,,,American Airlines Center,
Thu Dec 14 2023,9:00p,Brooklyn Nets,,Denver Nuggets,,,,,Ball Arena,
Thu Dec 14 2023,10:00p,Utah Jazz,,Portland Trail Blazers,,,,,Moda Center,
Thu Dec 14 2023,10:00p,Oklahoma City Thunder,,Sacramento Kings,,,,,Golden 1 Center,
Thu Dec 14 2023,10:30p,Golden State Warriors,,Los Angeles Clippers,,,,,Crypto.com Arena,
Fri Dec 15 2023,7:00p,New Orleans Pelicans,,Charlotte Hornets,,,,,Spectrum Center,
Fri Dec 15 2023,7:00p,Detroit Pistons,,Philadelphia 76ers,,,,,Wells Fargo Center,
Fri Dec 15 2023,7:00p,Indiana Pacers,,Washington Wizards,,,,,Capital One Arena,
Fri Dec 15 2023,7:30p,Orlando Magic,,Boston Celtics,,,,,TD Garden,
Fri Dec 15 2023,7:30p,Los Angeles Lakers,,San Antonio Spurs,,,,,Frost Bank Center,
