Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Thu Mar 1 2018,7:30p,Los Angeles Lakers,131,Miami Heat,113,Box Score,,19600,AmericanAirlines Arena,
Thu Mar 1 2018,8:00p,Philadelphia 76ers,108,Cleveland Cavaliers,97,Box Score,,20562,Quicken Loans Arena,
Thu Mar 1 2018,10:00p,Brooklyn Nets,111,Sacramento Kings,116,Box Score,OT,17583,Golden 1 Center,
Thu Mar 1 2018,10:30p,Minnesota Timberwolves,99,Portland Trail Blazers,108,Box Score,,19533,Moda Center,
Fri Mar 2 2018,7:00p,Detroit Pistons,106,Orlando Magic,115,Box Score,OT,17223,Amway Center,
Fri Mar 2 2018,7:00p,Charlotte Hornets,99,Philadelphia 76ers,110,Box Score,,20487,Wells Fargo Center,
Fri Mar 2 2018,7:30p,Golden State Warriors,114,Atlanta Hawks,109,Box Score,,16728,Philips Arena,
Fri Mar 2 2018,8:00p,Dallas Mavericks,100,Chicago Bulls,108,Box Score,,21017,United Center,
Fri Mar 2 2018,8:00p,Denver Nuggets,108,Memphis Grizzlies,102,Box Score,,16421,FedEx Forum,
Fri Mar 2 2018,8:00p,Indiana Pacers,103,Milwaukee Bucks,96,Box Score,,17217,BMO Harris Bradley Center,
Fri Mar 2 2018,8:00p,Toronto Raptors,102,Washington Wizards,95,Box Score,,18631,Capital One Arena,
Fri Mar 2 2018,9:00p,Oklahoma City Thunder,124,Phoenix Suns,116,Box Score,,18055,Talking Stick Resort Arena,
Fri Mar 2 2018,10:30p,New York Knicks,105,Los Angeles Clippers,128,Box Score,,17190,STAPLES Center,
Fri Mar 2 2018,10:30p,Minnesota Timberwolves,108,Utah Jazz,116,Box Score,,18306,Vivint Smart Home Arena,
Sat Mar 3 2018,7:00p,Memphis Grizzlies,100,Orlando Magic,107,Box Score,,17875,Amway Center,
Sat Mar 3 2018,7:30p,Denver Nuggets,126,Cleveland Cavaliers,117,Box Score,,20562,Quicken Loans Arena,
Sat Mar 3 2018,7:30p,Detroit Pistons,96,Miami Heat,105,Box Score,,19600,AmericanAirlines Arena,
Sat Mar 3 2018,8:30p,Boston Celtics,120,Houston Rockets,123,Box Score,,18476,Toyota Center,
Sat Mar 3 2018,9:00p,Los Angeles Lakers,116,San Antonio Spurs,112,Box Score,,18557,AT&T Center,
Sat Mar 3 2018,10:00p,Oklahoma City Thunder,100,Portland Trail Blazers,108,Box Score,,20063,Moda Center,
Sat Mar 3 2018,10:00p,Utah Jazz,98,Sacramento Kings,91,Box Score,,17583,Golden 1 Center,
Sun Mar 4 2018,3:30p,Phoenix Suns,112,Atlanta Hawks,113,Box Score,,15166,Philips Arena,
Sun Mar 4 2018,6:00p,Charlotte Hornets,98,Toronto Raptors,103,Box Score,,19800,Air Canada Centre,
Sun Mar 4 2018,6:00p,Indiana Pacers,98,Washington Wizards,95,Box Score,,16646,Capital One Arena,
Sun Mar 4 2018,7:00p,New Orleans Pelicans,126,Dallas Mavericks,109,Box Score,,19798,American Airlines Center,
Sun Mar 4 2018,8:00p,Philadelphia 76ers,110,Milwaukee Bucks,118,Box Score,,15587,BMO Harris Bradley Center,
Sun Mar 4 2018,9:00p,Brooklyn Nets,120,Los Angeles Clippers,123,Box Score,,16384,STAPLES Center,
Sun Mar 4 2018,9:00p,New York Knicks,99,Sacramento Kings,102,Box Score,,17583,Golden 1 Center,
Mon Mar 5 2018,7:00p,Detroit Pistons,90,Cleveland Cavaliers,112,Box Score,,20562,Quicken Loans Arena,
Mon Mar 5 2018,7:00p,Milwaukee Bucks,89,Indiana Pacers,92,Box Score,,15874,Bankers Life Fieldhouse,
Mon Mar 5 2018,7:30p,Phoenix Suns,103,Miami Heat,125,Box Score,,19600,AmericanAirlines Arena,
Mon Mar 5 2018,8:00p,Boston Celtics,105,Chicago Bulls,89,Box Score,,21286,United Center,
Mon Mar 5 2018,8:30p,Memphis Grizzlies,98,San Antonio Spurs,100,Box Score,,18418,AT&T Center,
Mon Mar 5 2018,9:00p,Orlando Magic,80,Utah Jazz,94,Box Score,,18306,Vivint Smart Home Arena,
Mon Mar 5 2018,10:30p,Portland Trail Blazers,108,Los Angeles Lakers,103,Box Score,,18997,STAPLES Center,
Tue Mar 6 2018,7:00p,Philadelphia 76ers,128,Charlotte Hornets,114,Box Score,,15600,Spectrum Center,
Tue Mar 6 2018,7:00p,Atlanta Hawks,90,Toronto Raptors,106,Box Score,,19800,Air Canada Centre,
Tue Mar 6 2018,7:00p,Miami Heat,113,Washington Wizards,117,Box Score,OT,16582,Capital One Arena,
Tue Mar 6 2018,8:00p,Houston Rockets,122,Oklahoma City Thunder,112,Box Score,,18203,Chesapeake Energy Arena,
Tue Mar 6 2018,8:30p,Denver Nuggets,107,Dallas Mavericks,118,Box Score,,19504,American Airlines Center,
Tue Mar 6 2018,10:00p,New York Knicks,87,Portland Trail Blazers,111,Box Score,,19393,Moda Center,
Tue Mar 6 2018,10:30p,Brooklyn Nets,101,Golden State Warriors,114,Box Score,,19596,Oracle Arena,
Tue Mar 6 2018,10:30p,New Orleans Pelicans,121,Los Angeles Clippers,116,Box Score,,16412,STAPLES Center,
Wed Mar 7 2018,7:00p,Utah Jazz,104,Indiana Pacers,84,Box Score,,16432,Bankers Life Fieldhouse,
Wed Mar 7 2018,8:00p,Memphis Grizzlies,110,Chicago Bulls,119,Box Score,,20210,United Center,
Wed Mar 7 2018,8:00p,Toronto Raptors,121,Detroit Pistons,119,Box Score,OT,17769,Little Caesars Arena,
Wed Mar 7 2018,8:00p,Houston Rockets,110,Milwaukee Bucks,99,Box Score,,17195,BMO Harris Bradley Center,
Wed Mar 7 2018,10:00p,New Orleans Pelicans,114,Sacramento Kings,101,Box Score,,17583,Golden 1 Center,
Wed Mar 7 2018,10:30p,Cleveland Cavaliers,113,Denver Nuggets,108,Box Score,,20062,Pepsi Center,
Wed Mar 7 2018,10:30p,Orlando Magic,107,Los Angeles Lakers,108,Box Score,,18997,STAPLES Center,
Thu Mar 8 2018,7:00p,Brooklyn Nets,125,Charlotte Hornets,111,Box Score,,14173,Spectrum Center,
Thu Mar 8 2018,7:30p,Philadelphia 76ers,99,Miami Heat,108,Box Score,,19600,AmericanAirlines Arena,
Thu Mar 8 2018,8:00p,Boston Celtics,117,Minnesota Timberwolves,109,Box Score,,18978,Target Center,
Thu Mar 8 2018,8:00p,Phoenix Suns,87,Oklahoma City Thunder,115,Box Score,,18203,Chesapeake Energy Arena,
Thu Mar 8 2018,10:30p,San Antonio Spurs,107,Golden State Warriors,110,Box Score,,19596,Oracle Arena,
