Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Thu Feb 1 2018,7:00p,Memphis Grizzlies,102,Detroit Pistons,104,Box Score,,17481,Little Caesars Arena,
Thu Feb 1 2018,7:00p,Toronto Raptors,119,Washington Wizards,122,Box Score,,15599,Capital One Arena,
Thu Feb 1 2018,8:00p,Milwaukee Bucks,89,Minnesota Timberwolves,108,Box Score,,17199,Target Center,
Thu Feb 1 2018,8:00p,Houston Rockets,102,San Antonio Spurs,91,Box Score,,18418,AT&T Center,
Thu Feb 1 2018,10:30p,Oklahoma City Thunder,124,Denver Nuggets,127,Box Score,,18407,Pepsi Center,
Fri Feb 2 2018,7:00p,Indiana Pacers,126,Charlotte Hornets,133,Box Score,,17135,Spectrum Center,
Fri Feb 2 2018,7:30p,Atlanta Hawks,110,Boston Celtics,119,Box Score,,18624,TD Garden,
Fri Feb 2 2018,7:30p,Los Angeles Lakers,102,Brooklyn Nets,99,Box Score,,17732,Barclays Center,
Fri Feb 2 2018,7:30p,Portland Trail Blazers,105,Toronto Raptors,130,Box Score,,19800,Air Canada Centre,
Fri Feb 2 2018,8:00p,New York Knicks,90,Milwaukee Bucks,92,Box Score,,18717,BMO Harris Bradley Center,
Fri Feb 2 2018,8:00p,Miami Heat,97,Philadelphia 76ers,103,Box Score,,20636,Wells Fargo Center,
Fri Feb 2 2018,9:00p,New Orleans Pelicans,114,Oklahoma City Thunder,100,Box Score,,18203,Chesapeake Energy Arena,
Fri Feb 2 2018,9:00p,Utah Jazz,129,Phoenix Suns,97,Box Score,,16560,Talking Stick Resort Arena,
Fri Feb 2 2018,10:30p,Golden State Warriors,119,Sacramento Kings,104,Box Score,,17583,Golden 1 Center,
Sat Feb 3 2018,3:30p,Chicago Bulls,103,Los Angeles Clippers,113,Box Score,,19068,STAPLES Center,
Sat Feb 3 2018,7:00p,Miami Heat,107,Detroit Pistons,111,Box Score,,18747,Little Caesars Arena,
Sat Feb 3 2018,7:00p,Philadelphia 76ers,92,Indiana Pacers,100,Box Score,,17923,Bankers Life Fieldhouse,
Sat Feb 3 2018,7:00p,Washington Wizards,115,Orlando Magic,98,Box Score,,18846,Amway Center,
Sat Feb 3 2018,8:30p,Houston Rockets,120,Cleveland Cavaliers,88,Box Score,,20562,Quicken Loans Arena,
Sat Feb 3 2018,9:00p,Golden State Warriors,108,Denver Nuggets,115,Box Score,,20103,Pepsi Center,
Sat Feb 3 2018,9:00p,New Orleans Pelicans,107,Minnesota Timberwolves,118,Box Score,,17954,Target Center,
Sat Feb 3 2018,9:00p,Utah Jazz,120,San Antonio Spurs,111,Box Score,,18418,AT&T Center,
Sat Feb 3 2018,10:00p,Dallas Mavericks,106,Sacramento Kings,99,Box Score,,17583,Golden 1 Center,
Sun Feb 4 2018,12:00p,Portland Trail Blazers,96,Boston Celtics,97,Box Score,,18624,TD Garden,
Sun Feb 4 2018,12:00p,Milwaukee Bucks,109,Brooklyn Nets,94,Box Score,,14392,Barclays Center,
Sun Feb 4 2018,12:00p,Atlanta Hawks,99,New York Knicks,96,Box Score,,19441,Madison Square Garden (IV),
Sun Feb 4 2018,12:00p,Memphis Grizzlies,86,Toronto Raptors,101,Box Score,,19800,Air Canada Centre,
Sun Feb 4 2018,2:00p,Los Angeles Lakers,108,Oklahoma City Thunder,104,Box Score,,18203,Chesapeake Energy Arena,
Sun Feb 4 2018,3:00p,Charlotte Hornets,115,Phoenix Suns,110,Box Score,,14487,Talking Stick Resort Arena,
Mon Feb 5 2018,7:00p,Portland Trail Blazers,91,Detroit Pistons,111,Box Score,,13810,Little Caesars Arena,
Mon Feb 5 2018,7:00p,Washington Wizards,111,Indiana Pacers,102,Box Score,,13169,Bankers Life Fieldhouse,
Mon Feb 5 2018,7:30p,Orlando Magic,111,Miami Heat,109,Box Score,,19600,AmericanAirlines Arena,
Mon Feb 5 2018,8:00p,Utah Jazz,133,New Orleans Pelicans,109,Box Score,,14293,Smoothie King Center,
Mon Feb 5 2018,9:00p,Charlotte Hornets,104,Denver Nuggets,121,Box Score,,14410,Pepsi Center,
Mon Feb 5 2018,10:00p,Chicago Bulls,98,Sacramento Kings,104,Box Score,,17583,Golden 1 Center,
Mon Feb 5 2018,10:30p,Dallas Mavericks,101,Los Angeles Clippers,104,Box Score,,15127,STAPLES Center,
Tue Feb 6 2018,7:00p,Cleveland Cavaliers,98,Orlando Magic,116,Box Score,,18846,Amway Center,
Tue Feb 6 2018,7:30p,Memphis Grizzlies,82,Atlanta Hawks,108,Box Score,,11866,Philips Arena,
Tue Feb 6 2018,7:30p,Houston Rockets,123,Brooklyn Nets,113,Box Score,,15064,Barclays Center,
Tue Feb 6 2018,7:30p,Milwaukee Bucks,103,New York Knicks,89,Box Score,,19812,Madison Square Garden (IV),
Tue Feb 6 2018,7:30p,Boston Celtics,91,Toronto Raptors,111,Box Score,,20017,Air Canada Centre,
Tue Feb 6 2018,8:00p,Washington Wizards,102,Philadelphia 76ers,115,Box Score,,20530,Wells Fargo Center,
Tue Feb 6 2018,10:30p,Oklahoma City Thunder,125,Golden State Warriors,105,Box Score,,19596,Oracle Arena,
Tue Feb 6 2018,10:30p,Phoenix Suns,93,Los Angeles Lakers,112,Box Score,,18997,STAPLES Center,
Wed Feb 7 2018,7:00p,Brooklyn Nets,106,Detroit Pistons,115,Box Score,,15114,Little Caesars Arena,
Wed Feb 7 2018,7:30p,Houston Rockets,109,Miami Heat,101,Box Score,,19600,AmericanAirlines Arena,
Wed Feb 7 2018,8:00p,Minnesota Timberwolves,138,Cleveland Cavaliers,140,Box Score,OT,20562,Quicken Loans Arena,
Wed Feb 7 2018,8:00p,Utah Jazz,92,Memphis Grizzlies,88,Box Score,,13187,FedEx Forum,
Wed Feb 7 2018,10:30p,San Antonio Spurs,129,Phoenix Suns,81,Box Score,,15993,Talking Stick Resort Arena,
Thu Feb 8 2018,7:00p,Atlanta Hawks,98,Orlando Magic,100,Box Score,,16215,Amway Center,
Thu Feb 8 2018,7:30p,New York Knicks,88,Toronto Raptors,113,Box Score,,19800,Air Canada Centre,
Thu Feb 8 2018,8:00p,Boston Celtics,110,Washington Wizards,104,Box Score,OT,20356,Capital One Arena,
Thu Feb 8 2018,10:00p,Charlotte Hornets,103,Portland Trail Blazers,109,Box Score,OT,19178,Moda Center,
Thu Feb 8 2018,10:30p,Dallas Mavericks,103,Golden State Warriors,121,Box Score,,19596,Oracle Arena,
Thu Feb 8 2018,10:30p,Oklahoma City Thunder,81,Los Angeles Lakers,106,Box Score,,18997,STAPLES Center,
Fri Feb 9 2018,7:00p,Los Angeles Clippers,108,Detroit Pistons,95,Box Score,,16697,Little Caesars Arena,
Fri Feb 9 2018,7:00p,New Orleans Pelicans,82,Philadelphia 76ers,100,Box Score,,20489,Wells Fargo Center,
Fri Feb 9 2018,7:30p,Cleveland Cavaliers,123,Atlanta Hawks,107,Box Score,,16438,Philips Arena,
Fri Feb 9 2018,7:30p,Indiana Pacers,97,Boston Celtics,91,Box Score,,18624,TD Garden,
Fri Feb 9 2018,8:00p,Denver Nuggets,104,Houston Rockets,130,Box Score,,18055,Toyota Center,
Fri Feb 9 2018,8:00p,Milwaukee Bucks,85,Miami Heat,91,Box Score,,20018,AmericanAirlines Arena,
Fri Feb 9 2018,9:00p,Charlotte Hornets,94,Utah Jazz,106,Box Score,,18306,Vivint Smart Home Arena,
Fri Feb 9 2018,9:30p,Minnesota Timberwolves,113,Chicago Bulls,114,Box Score,,21558,United Center,
Fri Feb 9 2018,10:30p,Portland Trail Blazers,118,Sacramento Kings,100,Box Score,,17583,Golden 1 Center,
Sat Feb 10 2018,6:00p,New Orleans Pelicans,138,Brooklyn Nets,128,Box Score,2OT,16572,Barclays Center,
Sat Feb 10 2018,7:00p,Milwaukee Bucks,111,Orlando Magic,104,Box Score,,18347,Amway Center,
Sat Feb 10 2018,7:00p,Los Angeles Clippers,98,Philadelphia 76ers,112,Box Score,,20504,Wells Fargo Center,
Sat Feb 10 2018,8:00p,Washington Wizards,101,Chicago Bulls,90,Box Score,,21112,United Center,
Sat Feb 10 2018,8:30p,Los Angeles Lakers,123,Dallas Mavericks,130,Box Score,,20162,American Airlines Center,
Sat Feb 10 2018,8:30p,San Antonio Spurs,105,Golden State Warriors,122,Box Score,,19596,Oracle Arena,
Sat Feb 10 2018,9:00p,Denver Nuggets,123,Phoenix Suns,113,Box Score,,16325,Talking Stick Resort Arena,
Sun Feb 11 2018,1:00p,Toronto Raptors,123,Charlotte Hornets,103,Box Score,,18320,Spectrum Center,
Sun Feb 11 2018,3:30p,Detroit Pistons,115,Atlanta Hawks,118,Box Score,,15214,Philips Arena,
Sun Feb 11 2018,3:30p,Cleveland Cavaliers,121,Boston Celtics,99,Box Score,,18624,TD Garden,
