Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Wed Nov 1 2017,7:00p,Milwaukee Bucks,121,Charlotte Hornets,126,Box Score,,15655,Spectrum Center,
Wed Nov 1 2017,7:00p,Indiana Pacers,124,Cleveland Cavaliers,107,Box Score,,20562,Quicken Loans Arena,
Wed Nov 1 2017,7:00p,Atlanta Hawks,109,Philadelphia 76ers,119,Box Score,,20549,Wells Fargo Center,
Wed Nov 1 2017,7:00p,Phoenix Suns,122,Washington Wizards,116,Box Score,,14790,Capital One Arena,
Wed Nov 1 2017,7:30p,Sacramento Kings,86,Boston Celtics,113,Box Score,,18624,TD Garden,
Wed Nov 1 2017,7:30p,Chicago Bulls,91,Miami Heat,97,Box Score,,19600,AmericanAirlines Arena,
Wed Nov 1 2017,8:00p,Orlando Magic,101,Memphis Grizzlies,99,Box Score,,15434,FedEx Forum,
Wed Nov 1 2017,8:00p,Minnesota Timberwolves,104,New Orleans Pelicans,98,Box Score,,14788,Smoothie King Center,
Wed Nov 1 2017,8:00p,Houston Rockets,119,New York Knicks,97,Box Score,,18320,Madison Square Garden (IV),
Wed Nov 1 2017,9:00p,Toronto Raptors,111,Denver Nuggets,129,Box Score,,14072,Pepsi Center,
Wed Nov 1 2017,9:00p,Portland Trail Blazers,103,Utah Jazz,112,Box Score,OT,16685,Vivint Smart Home Arena,
Wed Nov 1 2017,10:30p,Dallas Mavericks,98,Los Angeles Clippers,119,Box Score,,13487,STAPLES Center,
Thu Nov 2 2017,8:00p,Golden State Warriors,112,San Antonio Spurs,92,Box Score,,18418,AT&T Center,
Thu Nov 2 2017,10:30p,Los Angeles Lakers,110,Portland Trail Blazers,113,Box Score,,19469,Moda Center,
Fri Nov 3 2017,7:00p,Milwaukee Bucks,96,Detroit Pistons,105,Box Score,,17207,Little Caesars Arena,
Fri Nov 3 2017,7:00p,Chicago Bulls,105,Orlando Magic,83,Box Score,,19171,Amway Center,
Fri Nov 3 2017,7:00p,Indiana Pacers,110,Philadelphia 76ers,121,Box Score,,20668,Wells Fargo Center,
Fri Nov 3 2017,7:00p,Cleveland Cavaliers,130,Washington Wizards,122,Box Score,,20356,Capital One Arena,
Fri Nov 3 2017,7:30p,Houston Rockets,119,Atlanta Hawks,104,Box Score,,14087,Philips Arena,
Fri Nov 3 2017,7:30p,Phoenix Suns,107,New York Knicks,120,Box Score,,19404,Madison Square Garden (IV),
Fri Nov 3 2017,8:30p,New Orleans Pelicans,99,Dallas Mavericks,94,Box Score,,19894,American Airlines Center,
Fri Nov 3 2017,8:30p,Charlotte Hornets,101,San Antonio Spurs,108,Box Score,,18418,AT&T Center,
Fri Nov 3 2017,9:00p,Miami Heat,94,Denver Nuggets,95,Box Score,,15317,Pepsi Center,
Fri Nov 3 2017,9:00p,Toronto Raptors,109,Utah Jazz,100,Box Score,,16258,Vivint Smart Home Arena,
Fri Nov 3 2017,9:30p,Boston Celtics,101,Oklahoma City Thunder,94,Box Score,,18203,Chesapeake Energy Arena,
Fri Nov 3 2017,10:30p,Brooklyn Nets,112,Los Angeles Lakers,124,Box Score,,18997,STAPLES Center,
Sat Nov 4 2017,3:30p,Memphis Grizzlies,113,Los Angeles Clippers,104,Box Score,,14777,STAPLES Center,
Sat Nov 4 2017,7:00p,Sacramento Kings,99,Detroit Pistons,108,Box Score,,17683,Little Caesars Arena,
Sat Nov 4 2017,8:00p,New Orleans Pelicans,96,Chicago Bulls,90,Box Score,OT,21254,United Center,
Sat Nov 4 2017,8:00p,Dallas Mavericks,99,Minnesota Timberwolves,112,Box Score,,16837,Target Center,
