Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Fri Dec 1 2017,7:00p,Golden State Warriors,133,Orlando Magic,112,Box Score,,18846,Amway Center,
Fri Dec 1 2017,7:00p,Detroit Pistons,91,Washington Wizards,109,Box Score,,17885,Capital One Arena,
Fri Dec 1 2017,7:30p,Indiana Pacers,115,Toronto Raptors,120,Box Score,,19800,Air Canada Centre,
Fri Dec 1 2017,8:00p,Sacramento Kings,107,Chicago Bulls,106,Box Score,,19268,United Center,
Fri Dec 1 2017,8:00p,San Antonio Spurs,95,Memphis Grizzlies,79,Box Score,,16413,FedEx Forum,
Fri Dec 1 2017,8:00p,Charlotte Hornets,100,Miami Heat,105,Box Score,,19600,AmericanAirlines Arena,
Fri Dec 1 2017,8:00p,Minnesota Timberwolves,107,Oklahoma City Thunder,111,Box Score,,18203,Chesapeake Energy Arena,
Fri Dec 1 2017,9:00p,New Orleans Pelicans,108,Utah Jazz,114,Box Score,,17725,Vivint Smart Home Arena,
Sat Dec 2 2017,1:00p,Phoenix Suns,111,Boston Celtics,116,Box Score,,18624,TD Garden,
Sat Dec 2 2017,2:00p,Los Angeles Clippers,82,Dallas Mavericks,108,Box Score,,19245,American Airlines Center,
Sat Dec 2 2017,3:00p,Atlanta Hawks,114,Brooklyn Nets,102,Box Score,,13949,Barclays Center,
Sat Dec 2 2017,7:30p,Memphis Grizzlies,111,Cleveland Cavaliers,116,Box Score,,20562,Quicken Loans Arena,
Sat Dec 2 2017,7:30p,Detroit Pistons,103,Philadelphia 76ers,108,Box Score,,20562,Wells Fargo Center,
Sat Dec 2 2017,8:30p,Sacramento Kings,104,Milwaukee Bucks,109,Box Score,,15581,BMO Harris Bradley Center,
Sat Dec 2 2017,9:00p,Los Angeles Lakers,100,Denver Nuggets,115,Box Score,,19520,Pepsi Center,
Sat Dec 2 2017,10:00p,New Orleans Pelicans,123,Portland Trail Blazers,116,Box Score,,18730,Moda Center,
Sun Dec 3 2017,3:30p,Orlando Magic,105,New York Knicks,100,Box Score,,19082,Madison Square Garden (IV),
Sun Dec 3 2017,7:00p,Golden State Warriors,123,Miami Heat,95,Box Score,,19600,AmericanAirlines Arena,
Sun Dec 3 2017,7:00p,Los Angeles Clippers,106,Minnesota Timberwolves,112,Box Score,,13172,Target Center,
Sun Dec 3 2017,7:00p,San Antonio Spurs,87,Oklahoma City Thunder,90,Box Score,,18203,Chesapeake Energy Arena,
Sun Dec 3 2017,9:30p,Houston Rockets,118,Los Angeles Lakers,95,Box Score,,18997,STAPLES Center,
Mon Dec 4 2017,7:00p,Orlando Magic,94,Charlotte Hornets,104,Box Score,,14419,Spectrum Center,
Mon Dec 4 2017,7:00p,New York Knicks,97,Indiana Pacers,115,Box Score,,12018,Bankers Life Fieldhouse,
Mon Dec 4 2017,7:00p,Phoenix Suns,115,Philadelphia 76ers,101,Box Score,,20564,Wells Fargo Center,
Mon Dec 4 2017,7:30p,Brooklyn Nets,110,Atlanta Hawks,90,Box Score,,12056,Philips Arena,
Mon Dec 4 2017,7:30p,Milwaukee Bucks,100,Boston Celtics,111,Box Score,,18624,TD Garden,
Mon Dec 4 2017,8:00p,Cleveland Cavaliers,113,Chicago Bulls,91,Box Score,,21323,United Center,
Mon Dec 4 2017,8:00p,Minnesota Timberwolves,92,Memphis Grizzlies,95,Box Score,,14012,FedEx Forum,
Mon Dec 4 2017,8:00p,Golden State Warriors,125,New Orleans Pelicans,115,Box Score,,17004,Smoothie King Center,
Mon Dec 4 2017,8:30p,Denver Nuggets,105,Dallas Mavericks,122,Box Score,,19419,American Airlines Center,
Mon Dec 4 2017,8:30p,Detroit Pistons,93,San Antonio Spurs,96,Box Score,,18288,AT&T Center,
Mon Dec 4 2017,9:00p,Washington Wizards,69,Utah Jazz,116,Box Score,,17227,Vivint Smart Home Arena,
Tue Dec 5 2017,7:30p,Phoenix Suns,113,Toronto Raptors,126,Box Score,,19800,Air Canada Centre,
Tue Dec 5 2017,8:00p,Utah Jazz,94,Oklahoma City Thunder,100,Box Score,,18203,Chesapeake Energy Arena,
Tue Dec 5 2017,10:00p,Washington Wizards,106,Portland Trail Blazers,92,Box Score,,19241,Moda Center,
Wed Dec 6 2017,7:00p,Sacramento Kings,95,Cleveland Cavaliers,101,Box Score,,20562,Quicken Loans Arena,
Wed Dec 6 2017,7:00p,Chicago Bulls,96,Indiana Pacers,98,Box Score,,13013,Bankers Life Fieldhouse,
Wed Dec 6 2017,7:00p,Atlanta Hawks,106,Orlando Magic,110,Box Score,OT,16167,Amway Center,
Wed Dec 6 2017,7:30p,Dallas Mavericks,90,Boston Celtics,97,Box Score,,18624,TD Garden,
Wed Dec 6 2017,7:30p,Memphis Grizzlies,88,New York Knicks,99,Box Score,,19812,Madison Square Garden (IV),
Wed Dec 6 2017,8:00p,Golden State Warriors,101,Charlotte Hornets,87,Box Score,,19334,Spectrum Center,
Wed Dec 6 2017,8:00p,Detroit Pistons,100,Milwaukee Bucks,104,Box Score,,15841,BMO Harris Bradley Center,
Wed Dec 6 2017,8:00p,Denver Nuggets,114,New Orleans Pelicans,123,Box Score,,15353,Smoothie King Center,
Wed Dec 6 2017,8:30p,Miami Heat,105,San Antonio Spurs,117,Box Score,,18252,AT&T Center,
Wed Dec 6 2017,10:30p,Minnesota Timberwolves,113,Los Angeles Clippers,107,Box Score,,15951,STAPLES Center,
Thu Dec 7 2017,8:00p,Los Angeles Lakers,107,Philadelphia 76ers,104,Box Score,,20495,Wells Fargo Center,
Thu Dec 7 2017,9:00p,Washington Wizards,109,Phoenix Suns,99,Box Score,,15925,Talking Stick Resort Arena,
