Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Mon Jan 1 2018,7:30p,Orlando Magic,95,Brooklyn Nets,98,Box Score,,16164,Barclays Center,
Mon Jan 1 2018,7:30p,Milwaukee Bucks,127,Toronto Raptors,131,Box Score,OT,19800,Air Canada Centre,
Mon Jan 1 2018,8:00p,Portland Trail Blazers,124,Chicago Bulls,120,Box Score,OT,20860,United Center,
Mon Jan 1 2018,8:00p,Los Angeles Lakers,96,Minnesota Timberwolves,114,Box Score,,18978,Target Center,
Tue Jan 2 2018,7:00p,Portland Trail Blazers,110,Cleveland Cavaliers,127,Box Score,,20562,Quicken Loans Arena,
Tue Jan 2 2018,7:30p,San Antonio Spurs,100,New York Knicks,91,Box Score,,19812,Madison Square Garden (IV),
Tue Jan 2 2018,9:00p,Atlanta Hawks,103,Phoenix Suns,104,Box Score,,15921,Talking Stick Resort Arena,
Tue Jan 2 2018,10:00p,Charlotte Hornets,131,Sacramento Kings,111,Box Score,,17583,Golden 1 Center,
Tue Jan 2 2018,10:30p,Memphis Grizzlies,105,Los Angeles Clippers,113,Box Score,,15711,STAPLES Center,
Wed Jan 3 2018,7:00p,Houston Rockets,116,Orlando Magic,98,Box Score,,18588,Amway Center,
Wed Jan 3 2018,7:00p,San Antonio Spurs,106,Philadelphia 76ers,112,Box Score,,20642,Wells Fargo Center,
Wed Jan 3 2018,7:00p,New York Knicks,103,Washington Wizards,121,Box Score,,17206,Capital One Arena,
Wed Jan 3 2018,7:30p,Minnesota Timberwolves,97,Brooklyn Nets,98,Box Score,,16215,Barclays Center,
Wed Jan 3 2018,7:30p,Detroit Pistons,104,Miami Heat,111,Box Score,,19600,AmericanAirlines Arena,
Wed Jan 3 2018,8:00p,Cleveland Cavaliers,88,Boston Celtics,102,Box Score,,18624,TD Garden,
Wed Jan 3 2018,8:00p,Toronto Raptors,124,Chicago Bulls,115,Box Score,,20056,United Center,
Wed Jan 3 2018,8:00p,Indiana Pacers,101,Milwaukee Bucks,122,Box Score,,15613,BMO Harris Bradley Center,
Wed Jan 3 2018,8:30p,Golden State Warriors,125,Dallas Mavericks,122,Box Score,,20212,American Airlines Center,
Wed Jan 3 2018,9:00p,Phoenix Suns,111,Denver Nuggets,134,Box Score,,14079,Pepsi Center,
Wed Jan 3 2018,9:00p,New Orleans Pelicans,108,Utah Jazz,98,Box Score,,18306,Vivint Smart Home Arena,
Wed Jan 3 2018,10:30p,Oklahoma City Thunder,133,Los Angeles Lakers,96,Box Score,,18997,STAPLES Center,
Thu Jan 4 2018,8:00p,Golden State Warriors,124,Houston Rockets,114,Box Score,,18055,Toyota Center,
Thu Jan 4 2018,10:30p,Oklahoma City Thunder,127,Los Angeles Clippers,117,Box Score,,19068,STAPLES Center,
Fri Jan 5 2018,7:00p,Minnesota Timberwolves,84,Boston Celtics,91,Box Score,,18624,TD Garden,
Fri Jan 5 2018,7:00p,Detroit Pistons,78,Philadelphia 76ers,114,Box Score,,20592,Wells Fargo Center,
Fri Jan 5 2018,8:00p,New York Knicks,103,Miami Heat,107,Box Score,OT,19600,AmericanAirlines Arena,
Fri Jan 5 2018,8:00p,Toronto Raptors,129,Milwaukee Bucks,110,Box Score,,18717,BMO Harris Bradley Center,
Fri Jan 5 2018,8:30p,Chicago Bulls,127,Dallas Mavericks,124,Box Score,,20073,American Airlines Center,
Fri Jan 5 2018,8:30p,Phoenix Suns,89,San Antonio Spurs,103,Box Score,,18501,AT&T Center,
Fri Jan 5 2018,9:00p,Utah Jazz,91,Denver Nuggets,99,Box Score,,15557,Pepsi Center,
Fri Jan 5 2018,9:30p,Washington Wizards,102,Memphis Grizzlies,100,Box Score,,16988,FedEx Forum,
Fri Jan 5 2018,10:00p,Atlanta Hawks,89,Portland Trail Blazers,110,Box Score,,19393,Moda Center,
Fri Jan 5 2018,10:30p,Charlotte Hornets,108,Los Angeles Lakers,94,Box Score,,18997,STAPLES Center,
Sat Jan 6 2018,3:30p,Golden State Warriors,121,Los Angeles Clippers,105,Box Score,,19068,STAPLES Center,
Sat Jan 6 2018,6:00p,Boston Celtics,87,Brooklyn Nets,85,Box Score,,17732,Barclays Center,
Sat Jan 6 2018,7:00p,Houston Rockets,101,Detroit Pistons,108,Box Score,,18046,Little Caesars Arena,
Sat Jan 6 2018,7:00p,Chicago Bulls,86,Indiana Pacers,125,Box Score,,17923,Bankers Life Fieldhouse,
Sat Jan 6 2018,7:00p,Cleveland Cavaliers,131,Orlando Magic,127,Box Score,,18997,Amway Center,
Sat Jan 6 2018,8:00p,Milwaukee Bucks,110,Washington Wizards,103,Box Score,,18762,Capital One Arena,
Sat Jan 6 2018,9:00p,New Orleans Pelicans,98,Minnesota Timberwolves,116,Box Score,,18978,Target Center,
Sat Jan 6 2018,10:00p,Denver Nuggets,98,Sacramento Kings,106,Box Score,,17583,Golden 1 Center,
Sun Jan 7 2018,3:30p,Utah Jazz,102,Miami Heat,103,Box Score,,19600,AmericanAirlines Arena,
Sun Jan 7 2018,7:00p,New York Knicks,100,Dallas Mavericks,96,Box Score,,20171,American Airlines Center,
Sun Jan 7 2018,8:00p,Oklahoma City Thunder,100,Phoenix Suns,114,Box Score,,18055,Talking Stick Resort Arena,
Sun Jan 7 2018,9:00p,San Antonio Spurs,110,Portland Trail Blazers,111,Box Score,,19393,Moda Center,
Sun Jan 7 2018,9:30p,Atlanta Hawks,113,Los Angeles Lakers,132,Box Score,,18997,STAPLES Center,
Mon Jan 8 2018,7:00p,Milwaukee Bucks,96,Indiana Pacers,109,Box Score,,14670,Bankers Life Fieldhouse,
Mon Jan 8 2018,7:30p,Toronto Raptors,114,Brooklyn Nets,113,Box Score,OT,13681,Barclays Center,
Mon Jan 8 2018,8:00p,Houston Rockets,116,Chicago Bulls,107,Box Score,,17462,United Center,
Mon Jan 8 2018,8:00p,Cleveland Cavaliers,99,Minnesota Timberwolves,127,Box Score,,18978,Target Center,
Mon Jan 8 2018,8:00p,Detroit Pistons,109,New Orleans Pelicans,112,Box Score,,12874,Smoothie King Center,
Mon Jan 8 2018,10:00p,San Antonio Spurs,107,Sacramento Kings,100,Box Score,,17583,Golden 1 Center,
Mon Jan 8 2018,10:30p,Denver Nuggets,114,Golden State Warriors,124,Box Score,,19596,Oracle Arena,
Mon Jan 8 2018,10:30p,Atlanta Hawks,107,Los Angeles Clippers,108,Box Score,,14624,STAPLES Center,
Tue Jan 9 2018,7:30p,Miami Heat,90,Toronto Raptors,89,Box Score,,19800,Air Canada Centre,
Tue Jan 9 2018,8:00p,Portland Trail Blazers,117,Oklahoma City Thunder,106,Box Score,,18203,Chesapeake Energy Arena,
Tue Jan 9 2018,8:30p,Orlando Magic,99,Dallas Mavericks,114,Box Score,,19306,American Airlines Center,
Tue Jan 9 2018,10:30p,Sacramento Kings,86,Los Angeles Lakers,99,Box Score,,18997,STAPLES Center,
Wed Jan 10 2018,7:00p,Dallas Mavericks,115,Charlotte Hornets,111,Box Score,,14462,Spectrum Center,
Wed Jan 10 2018,7:00p,Miami Heat,114,Indiana Pacers,106,Box Score,,14540,Bankers Life Fieldhouse,
Wed Jan 10 2018,7:00p,Utah Jazz,107,Washington Wizards,104,Box Score,,15640,Capital One Arena,
Wed Jan 10 2018,7:30p,Detroit Pistons,114,Brooklyn Nets,80,Box Score,,13457,Barclays Center,
Wed Jan 10 2018,7:30p,Chicago Bulls,122,New York Knicks,119,Box Score,2OT,19812,Madison Square Garden (IV),
Wed Jan 10 2018,8:00p,Portland Trail Blazers,112,Houston Rockets,121,Box Score,,18055,Toyota Center,
Wed Jan 10 2018,8:00p,New Orleans Pelicans,102,Memphis Grizzlies,105,Box Score,,14312,FedEx Forum,
Wed Jan 10 2018,8:00p,Orlando Magic,103,Milwaukee Bucks,110,Box Score,,14543,BMO Harris Bradley Center,
Wed Jan 10 2018,8:00p,Oklahoma City Thunder,88,Minnesota Timberwolves,104,Box Score,,18978,Target Center,
Wed Jan 10 2018,9:00p,Atlanta Hawks,110,Denver Nuggets,97,Box Score,,14182,Pepsi Center,
Wed Jan 10 2018,10:30p,Los Angeles Clippers,125,Golden State Warriors,106,Box Score,,19596,Oracle Arena,
Thu Jan 11 2018,3:00p,Boston Celtics,114,Philadelphia 76ers,103,Box Score,,19078,The O2 Arena,at London England
Thu Jan 11 2018,8:00p,Cleveland Cavaliers,99,Toronto Raptors,133,Box Score,,19923,Air Canada Centre,
Thu Jan 11 2018,10:00p,Los Angeles Clippers,121,Sacramento Kings,115,Box Score,,17583,Golden 1 Center,
Thu Jan 11 2018,10:30p,San Antonio Spurs,81,Los Angeles Lakers,93,Box Score,,18997,STAPLES Center,
