Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Sun Jun 2 2019,8:00p,Golden State Warriors,109,Toronto Raptors,104,Box Score,,20014,Scotiabank Arena,
Wed Jun 5 2019,9:00p,Toronto Raptors,123,Golden State Warriors,109,Box Score,,19596,Oracle Arena,
Fri Jun 7 2019,9:00p,Toronto Raptors,105,Golden State Warriors,92,Box Score,,19596,Oracle Arena,
Mon Jun 10 2019,9:00p,Golden State Warriors,106,Toronto Raptors,105,Box Score,,20144,Scotiabank Arena,
Thu Jun 13 2019,9:00p,Toronto Raptors,114,Golden State Warriors,110,Box Score,,19596,Oracle Arena,
