Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Wed May 1 2019,9:00p,Portland Trail Blazers,97,Denver Nuggets,90,Box Score,,19520,Pepsi Center,
Thu May 2 2019,8:00p,Toronto Raptors,95,Philadelphia 76ers,116,Box Score,,20658,Wells Fargo Center,
Fri May 3 2019,8:00p,Milwaukee Bucks,123,Boston Celtics,116,Box Score,,18624,TD Garden,
Fri May 3 2019,10:30p,Denver Nuggets,137,Portland Trail Blazers,140,Box Score,4OT,20193,Moda Center,
Sat May 4 2019,8:30p,Golden State Warriors,121,Houston Rockets,126,Box Score,OT,18169,Toyota Center,
Sun May 5 2019,3:30p,Toronto Raptors,101,Philadelphia 76ers,96,Box Score,,20639,Wells Fargo Center,
Sun May 5 2019,7:00p,Denver Nuggets,116,Portland Trail Blazers,112,Box Score,,20146,Moda Center,
Mon May 6 2019,7:00p,Milwaukee Bucks,113,Boston Celtics,101,Box Score,,18624,TD Garden,
Mon May 6 2019,9:30p,Golden State Warriors,108,Houston Rockets,112,Box Score,,18055,Toyota Center,
Tue May 7 2019,8:00p,Philadelphia 76ers,89,Toronto Raptors,125,Box Score,,20287,Scotiabank Arena,
Tue May 7 2019,10:30p,Portland Trail Blazers,98,Denver Nuggets,124,Box Score,,19520,Pepsi Center,
Wed May 8 2019,8:00p,Boston Celtics,91,Milwaukee Bucks,116,Box Score,,17701,Fiserv Forum,
Wed May 8 2019,10:30p,Houston Rockets,99,Golden State Warriors,104,Box Score,,19596,Oracle Arena,
Thu May 9 2019,8:00p,Toronto Raptors,101,Philadelphia 76ers,112,Box Score,,20525,Wells Fargo Center,
Thu May 9 2019,10:30p,Denver Nuggets,108,Portland Trail Blazers,119,Box Score,,20022,Moda Center,
Fri May 10 2019,9:00p,Golden State Warriors,118,Houston Rockets,113,Box Score,,18055,Toyota Center,
Sun May 12 2019,3:30p,Portland Trail Blazers,100,Denver Nuggets,96,Box Score,,19725,Pepsi Center,
Sun May 12 2019,7:00p,Philadelphia 76ers,90,Toronto Raptors,92,Box Score,,20917,Scotiabank Arena,
Tue May 14 2019,9:00p,Portland Trail Blazers,94,Golden State Warriors,116,Box Score,,19596,Oracle Arena,
Wed May 15 2019,8:30p,Toronto Raptors,100,Milwaukee Bucks,108,Box Score,,17345,Fiserv Forum,
Thu May 16 2019,9:00p,Portland Trail Blazers,111,Golden State Warriors,114,Box Score,,19596,Oracle Arena,
Fri May 17 2019,8:30p,Toronto Raptors,103,Milwaukee Bucks,125,Box Score,,17570,Fiserv Forum,
Sat May 18 2019,9:00p,Golden State Warriors,110,Portland Trail Blazers,99,Box Score,,20214,Moda Center,
Sun May 19 2019,7:00p,Milwaukee Bucks,112,Toronto Raptors,118,Box Score,2OT,19923,Scotiabank Arena,
Mon May 20 2019,9:00p,Golden State Warriors,119,Portland Trail Blazers,117,Box Score,OT,20064,Moda Center,
Tue May 21 2019,8:30p,Milwaukee Bucks,102,Toronto Raptors,120,Box Score,,20237,Scotiabank Arena,
Thu May 23 2019,8:30p,Toronto Raptors,105,Milwaukee Bucks,99,Box Score,,17384,Fiserv Forum,
Sat May 25 2019,8:30p,Milwaukee Bucks,94,Toronto Raptors,100,Box Score,,20478,Scotiabank Arena,
Thu May 30 2019,9:00p,Golden State Warriors,109,Toronto Raptors,118,Box Score,,19983,Scotiabank Arena,
