Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Thu Nov 1 2018,7:00p,Oklahoma City Thunder,111,Charlotte Hornets,107,Box Score,,14583,Spectrum Center,
Thu Nov 1 2018,7:00p,Denver Nuggets,110,Cleveland Cavaliers,91,Box Score,,19432,Quicken Loans Arena,
Thu Nov 1 2018,7:00p,Los Angeles Clippers,113,Philadelphia 76ers,122,Box Score,,20246,Wells Fargo Center,
Thu Nov 1 2018,7:30p,Sacramento Kings,146,Atlanta Hawks,115,Box Score,,12095,State Farm Arena,
Thu Nov 1 2018,8:00p,Milwaukee Bucks,113,Boston Celtics,117,Box Score,,18624,TD Garden,
Thu Nov 1 2018,10:30p,New Orleans Pelicans,119,Portland Trail Blazers,132,Box Score,,18921,Moda Center,
Fri Nov 2 2018,7:00p,Los Angeles Clippers,120,Orlando Magic,95,Box Score,,15953,Amway Center,
Fri Nov 2 2018,7:30p,Houston Rockets,119,Brooklyn Nets,111,Box Score,,14013,Barclays Center,
Fri Nov 2 2018,8:00p,Indiana Pacers,107,Chicago Bulls,105,Box Score,,19704,United Center,
Fri Nov 2 2018,8:00p,Oklahoma City Thunder,134,Washington Wizards,111,Box Score,,20409,Capital One Arena,
Fri Nov 2 2018,8:30p,New York Knicks,118,Dallas Mavericks,106,Box Score,,20008,American Airlines Center,
Fri Nov 2 2018,9:00p,Memphis Grizzlies,110,Utah Jazz,100,Box Score,,18306,Vivint Smart Home Arena,
Fri Nov 2 2018,10:00p,Toronto Raptors,107,Phoenix Suns,98,Box Score,,15843,Talking Stick Resort Arena,
Fri Nov 2 2018,10:30p,Minnesota Timberwolves,99,Golden State Warriors,116,Box Score,,19596,Oracle Arena,
Sat Nov 3 2018,1:00p,Detroit Pistons,99,Philadelphia 76ers,109,Box Score,,20289,Wells Fargo Center,
Sat Nov 3 2018,7:00p,Cleveland Cavaliers,94,Charlotte Hornets,126,Box Score,,16221,Spectrum Center,
Sat Nov 3 2018,7:00p,Boston Celtics,101,Indiana Pacers,102,Box Score,,17505,Bankers Life Fieldhouse,
Sat Nov 3 2018,7:30p,Miami Heat,118,Atlanta Hawks,123,Box Score,,16303,State Farm Arena,
Sat Nov 3 2018,8:00p,Houston Rockets,96,Chicago Bulls,88,Box Score,,20505,United Center,
Sat Nov 3 2018,8:30p,New Orleans Pelicans,95,San Antonio Spurs,109,Box Score,,18354,AT&T Center,
Sat Nov 3 2018,9:00p,Utah Jazz,88,Denver Nuggets,103,Box Score,,19520,Pepsi Center,
Sat Nov 3 2018,10:00p,Los Angeles Lakers,114,Portland Trail Blazers,110,Box Score,,19848,Moda Center,
