Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Fri Apr 5 2019,8:00p,New York Knicks,96,Houston Rockets,120,Box Score,,18055,Toyota Center,
Fri Apr 5 2019,8:00p,Boston Celtics,117,Indiana Pacers,97,Box Score,,17371,Bankers Life Fieldhouse,
Fri Apr 5 2019,8:00p,Miami Heat,109,Minnesota Timberwolves,111,Box Score,,17763,Target Center,
Fri Apr 5 2019,8:00p,Detroit Pistons,110,Oklahoma City Thunder,123,Box Score,,18203,Chesapeake Energy Arena,
Fri Apr 5 2019,8:30p,Memphis Grizzlies,122,Dallas Mavericks,112,Box Score,,20111,American Airlines Center,
Fri Apr 5 2019,9:00p,Sacramento Kings,98,Utah Jazz,119,Box Score,,18306,Vivint Smart Home Arena,
Fri Apr 5 2019,10:00p,New Orleans Pelicans,126,Phoenix Suns,133,Box Score,OT,16410,Talking Stick Resort Arena,
Fri Apr 5 2019,10:30p,Portland Trail Blazers,110,Denver Nuggets,119,Box Score,,19928,Pepsi Center,
Fri Apr 5 2019,10:30p,Cleveland Cavaliers,114,Golden State Warriors,120,Box Score,,19596,Oracle Arena,
Fri Apr 5 2019,10:30p,Los Angeles Lakers,122,Los Angeles Clippers,117,Box Score,,17910,STAPLES Center,
Sat Apr 6 2019,5:00p,Brooklyn Nets,133,Milwaukee Bucks,128,Box Score,,18116,Fiserv Forum,
Sat Apr 6 2019,8:00p,Philadelphia 76ers,116,Chicago Bulls,96,Box Score,,21059,United Center,
Sun Apr 7 2019,12:00p,Miami Heat,109,Toronto Raptors,117,Box Score,OT,19800,Scotiabank Arena,
Sun Apr 7 2019,3:00p,San Antonio Spurs,112,Cleveland Cavaliers,90,Box Score,,19432,Quicken Loans Arena,
Sun Apr 7 2019,3:30p,Oklahoma City Thunder,132,Minnesota Timberwolves,126,Box Score,,18978,Target Center,
Sun Apr 7 2019,4:00p,Charlotte Hornets,104,Detroit Pistons,91,Box Score,,19871,Little Caesars Arena,
Sun Apr 7 2019,5:00p,Brooklyn Nets,108,Indiana Pacers,96,Box Score,,16197,Bankers Life Fieldhouse,
Sun Apr 7 2019,6:00p,Dallas Mavericks,129,Memphis Grizzlies,127,Box Score,OT,16744,FedEx Forum,
Sun Apr 7 2019,7:00p,Phoenix Suns,113,Houston Rockets,149,Box Score,,18055,Toyota Center,
Sun Apr 7 2019,7:00p,Atlanta Hawks,107,Milwaukee Bucks,115,Box Score,,17775,Fiserv Forum,
Sun Apr 7 2019,7:30p,Orlando Magic,116,Boston Celtics,108,Box Score,,18624,TD Garden,
Sun Apr 7 2019,7:30p,Washington Wizards,110,New York Knicks,113,Box Score,,19812,Madison Square Garden (IV),
Sun Apr 7 2019,8:30p,Los Angeles Clippers,104,Golden State Warriors,131,Box Score,,19596,Oracle Arena,
Sun Apr 7 2019,9:00p,Denver Nuggets,108,Portland Trail Blazers,115,Box Score,,19890,Moda Center,
Sun Apr 7 2019,9:00p,New Orleans Pelicans,133,Sacramento Kings,129,Box Score,,17583,Golden 1 Center,
Sun Apr 7 2019,9:30p,Utah Jazz,109,Los Angeles Lakers,113,Box Score,,18997,STAPLES Center,
Tue Apr 9 2019,7:00p,Charlotte Hornets,124,Cleveland Cavaliers,97,Box Score,,19432,Quicken Loans Arena,
Tue Apr 9 2019,7:00p,Memphis Grizzlies,93,Detroit Pistons,100,Box Score,,19802,Little Caesars Arena,
Tue Apr 9 2019,7:00p,Boston Celtics,116,Washington Wizards,110,Box Score,,20409,Capital One Arena,
Tue Apr 9 2019,7:30p,Philadelphia 76ers,99,Miami Heat,122,Box Score,,20153,AmericanAirlines Arena,
Tue Apr 9 2019,8:00p,New York Knicks,96,Chicago Bulls,86,Box Score,,21350,United Center,
Tue Apr 9 2019,8:00p,Toronto Raptors,120,Minnesota Timberwolves,100,Box Score,,16119,Target Center,
Tue Apr 9 2019,8:00p,Golden State Warriors,112,New Orleans Pelicans,103,Box Score,,17090,Smoothie King Center,
Tue Apr 9 2019,8:30p,Phoenix Suns,109,Dallas Mavericks,120,Box Score,,21041,American Airlines Center,
Tue Apr 9 2019,9:00p,Denver Nuggets,108,Utah Jazz,118,Box Score,,18306,Vivint Smart Home Arena,
Tue Apr 9 2019,9:30p,Houston Rockets,111,Oklahoma City Thunder,112,Box Score,,18203,Chesapeake Energy Arena,
Tue Apr 9 2019,10:30p,Portland Trail Blazers,104,Los Angeles Lakers,101,Box Score,,18997,STAPLES Center,
Wed Apr 10 2019,8:00p,Indiana Pacers,135,Atlanta Hawks,134,Box Score,,17143,State Farm Arena,
Wed Apr 10 2019,8:00p,Miami Heat,94,Brooklyn Nets,113,Box Score,,17732,Barclays Center,
Wed Apr 10 2019,8:00p,Orlando Magic,122,Charlotte Hornets,114,Box Score,,17719,Spectrum Center,
Wed Apr 10 2019,8:00p,Golden State Warriors,117,Memphis Grizzlies,132,Box Score,,17794,FedEx Forum,
Wed Apr 10 2019,8:00p,Oklahoma City Thunder,127,Milwaukee Bucks,116,Box Score,,18082,Fiserv Forum,
Wed Apr 10 2019,8:00p,Detroit Pistons,115,New York Knicks,89,Box Score,,19812,Madison Square Garden (IV),
Wed Apr 10 2019,8:00p,Chicago Bulls,109,Philadelphia 76ers,125,Box Score,,20197,Wells Fargo Center,
Wed Apr 10 2019,8:00p,Dallas Mavericks,94,San Antonio Spurs,105,Box Score,,18629,AT&T Center,
Wed Apr 10 2019,10:30p,Minnesota Timberwolves,95,Denver Nuggets,99,Box Score,,16332,Pepsi Center,
Wed Apr 10 2019,10:30p,Utah Jazz,137,Los Angeles Clippers,143,Box Score,OT,17655,STAPLES Center,
Wed Apr 10 2019,10:30p,Sacramento Kings,131,Portland Trail Blazers,136,Box Score,,19814,Moda Center,
Sat Apr 13 2019,2:30p,Brooklyn Nets,111,Philadelphia 76ers,102,Box Score,,20437,Wells Fargo Center,
Sat Apr 13 2019,5:00p,Orlando Magic,104,Toronto Raptors,101,Box Score,,19937,Scotiabank Arena,
Sat Apr 13 2019,8:00p,Los Angeles Clippers,104,Golden State Warriors,121,Box Score,,19596,Oracle Arena,
Sat Apr 13 2019,10:30p,San Antonio Spurs,101,Denver Nuggets,96,Box Score,,19520,Pepsi Center,
Sun Apr 14 2019,1:00p,Indiana Pacers,74,Boston Celtics,84,Box Score,,18624,TD Garden,
Sun Apr 14 2019,3:30p,Oklahoma City Thunder,99,Portland Trail Blazers,104,Box Score,,19886,Moda Center,
Sun Apr 14 2019,7:00p,Detroit Pistons,86,Milwaukee Bucks,121,Box Score,,17529,Fiserv Forum,
Sun Apr 14 2019,9:30p,Utah Jazz,90,Houston Rockets,122,Box Score,,18055,Toyota Center,
Mon Apr 15 2019,8:00p,Brooklyn Nets,123,Philadelphia 76ers,145,Box Score,,20591,Wells Fargo Center,
Mon Apr 15 2019,10:30p,Los Angeles Clippers,135,Golden State Warriors,131,Box Score,,19596,Oracle Arena,
Tue Apr 16 2019,8:00p,Orlando Magic,82,Toronto Raptors,111,Box Score,,19964,Scotiabank Arena,
Tue Apr 16 2019,9:00p,San Antonio Spurs,105,Denver Nuggets,114,Box Score,,19520,Pepsi Center,
Tue Apr 16 2019,10:30p,Oklahoma City Thunder,94,Portland Trail Blazers,114,Box Score,,20041,Moda Center,
Wed Apr 17 2019,7:00p,Indiana Pacers,91,Boston Celtics,99,Box Score,,18624,TD Garden,
Wed Apr 17 2019,8:00p,Detroit Pistons,99,Milwaukee Bucks,120,Box Score,,17513,Fiserv Forum,
Wed Apr 17 2019,9:30p,Utah Jazz,98,Houston Rockets,118,Box Score,,18055,Toyota Center,
Thu Apr 18 2019,8:00p,Philadelphia 76ers,131,Brooklyn Nets,115,Box Score,,17732,Barclays Center,
Thu Apr 18 2019,9:00p,Denver Nuggets,108,San Antonio Spurs,118,Box Score,,18354,AT&T Center,
Thu Apr 18 2019,10:30p,Golden State Warriors,132,Los Angeles Clippers,105,Box Score,,19068,STAPLES Center,
Fri Apr 19 2019,7:00p,Toronto Raptors,98,Orlando Magic,93,Box Score,,19367,Amway Center,
Fri Apr 19 2019,8:30p,Boston Celtics,104,Indiana Pacers,96,Box Score,,17923,Bankers Life Fieldhouse,
Fri Apr 19 2019,9:30p,Portland Trail Blazers,108,Oklahoma City Thunder,120,Box Score,,18203,Chesapeake Energy Arena,
Sat Apr 20 2019,3:00p,Philadelphia 76ers,112,Brooklyn Nets,108,Box Score,,17732,Barclays Center,
Sat Apr 20 2019,5:30p,Denver Nuggets,117,San Antonio Spurs,103,Box Score,,18354,AT&T Center,
Sat Apr 20 2019,8:00p,Milwaukee Bucks,119,Detroit Pistons,103,Box Score,,20520,Little Caesars Arena,
Sat Apr 20 2019,10:30p,Houston Rockets,104,Utah Jazz,101,Box Score,,18306,Vivint Smart Home Arena,
Sun Apr 21 2019,1:00p,Boston Celtics,110,Indiana Pacers,106,Box Score,,17923,Bankers Life Fieldhouse,
Sun Apr 21 2019,3:30p,Golden State Warriors,113,Los Angeles Clippers,105,Box Score,,19068,STAPLES Center,
Sun Apr 21 2019,7:00p,Toronto Raptors,107,Orlando Magic,85,Box Score,,19087,Amway Center,
Sun Apr 21 2019,9:30p,Portland Trail Blazers,111,Oklahoma City Thunder,98,Box Score,,18203,Chesapeake Energy Arena,
Mon Apr 22 2019,8:00p,Milwaukee Bucks,127,Detroit Pistons,104,Box Score,,20332,Little Caesars Arena,
Mon Apr 22 2019,10:30p,Houston Rockets,91,Utah Jazz,107,Box Score,,18306,Vivint Smart Home Arena,
Tue Apr 23 2019,7:00p,Orlando Magic,96,Toronto Raptors,115,Box Score,,19800,Scotiabank Arena,
Tue Apr 23 2019,8:00p,Brooklyn Nets,100,Philadelphia 76ers,122,Box Score,,20595,Wells Fargo Center,
Tue Apr 23 2019,9:30p,San Antonio Spurs,90,Denver Nuggets,108,Box Score,,19520,Pepsi Center,
