Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Fri Feb 8 2019,9:00p,Golden State Warriors,117,Phoenix Suns,107,Box Score,,17081,Talking Stick Resort Arena,
Fri Feb 8 2019,9:30p,Minnesota Timberwolves,117,New Orleans Pelicans,122,Box Score,,16980,Smoothie King Center,
Fri Feb 8 2019,10:00p,Miami Heat,96,Sacramento Kings,102,Box Score,,17583,Golden 1 Center,
Sat Feb 9 2019,5:00p,San Antonio Spurs,105,Utah Jazz,125,Box Score,,18306,Vivint Smart Home Arena,
Sat Feb 9 2019,7:00p,Cleveland Cavaliers,90,Indiana Pacers,105,Box Score,,17923,Bankers Life Fieldhouse,
Sat Feb 9 2019,7:30p,Charlotte Hornets,129,Atlanta Hawks,120,Box Score,,15048,State Farm Arena,
Sat Feb 9 2019,7:30p,Toronto Raptors,104,New York Knicks,99,Box Score,,18886,Madison Square Garden (IV),
Sat Feb 9 2019,8:00p,Los Angeles Clippers,123,Boston Celtics,112,Box Score,,18624,TD Garden,
Sat Feb 9 2019,8:00p,Washington Wizards,134,Chicago Bulls,125,Box Score,,19942,United Center,
Sat Feb 9 2019,8:00p,New Orleans Pelicans,90,Memphis Grizzlies,99,Box Score,,16841,FedEx Forum,
Sat Feb 9 2019,8:30p,Oklahoma City Thunder,117,Houston Rockets,112,Box Score,,18061,Toyota Center,
Sat Feb 9 2019,9:00p,Orlando Magic,103,Milwaukee Bucks,83,Box Score,,17812,Fiserv Forum,
Sun Feb 10 2019,3:00p,Portland Trail Blazers,101,Dallas Mavericks,102,Box Score,,20340,American Airlines Center,
Sun Feb 10 2019,3:30p,Los Angeles Lakers,120,Philadelphia 76ers,143,Box Score,,20683,Wells Fargo Center,
Sun Feb 10 2019,6:00p,Phoenix Suns,104,Sacramento Kings,117,Box Score,,17583,Golden 1 Center,
Sun Feb 10 2019,7:30p,Orlando Magic,124,Atlanta Hawks,108,Box Score,,13370,State Farm Arena,
Sun Feb 10 2019,8:30p,Miami Heat,118,Golden State Warriors,120,Box Score,,19596,Oracle Arena,
Mon Feb 11 2019,7:00p,New York Knicks,104,Cleveland Cavaliers,107,Box Score,,19432,Quicken Loans Arena,
Mon Feb 11 2019,7:00p,Washington Wizards,112,Detroit Pistons,121,Box Score,,15246,Little Caesars Arena,
Mon Feb 11 2019,7:00p,Charlotte Hornets,90,Indiana Pacers,99,Box Score,,15734,Bankers Life Fieldhouse,
Mon Feb 11 2019,7:30p,Brooklyn Nets,125,Toronto Raptors,127,Box Score,,19800,Scotiabank Arena,
Mon Feb 11 2019,8:00p,Milwaukee Bucks,112,Chicago Bulls,99,Box Score,,18833,United Center,
Mon Feb 11 2019,8:00p,Dallas Mavericks,104,Houston Rockets,120,Box Score,,18055,Toyota Center,
Mon Feb 11 2019,8:00p,Los Angeles Clippers,120,Minnesota Timberwolves,130,Box Score,,13782,Target Center,
Mon Feb 11 2019,8:00p,Portland Trail Blazers,111,Oklahoma City Thunder,120,Box Score,,18203,Chesapeake Energy Arena,
Mon Feb 11 2019,9:00p,Miami Heat,87,Denver Nuggets,103,Box Score,,18378,Pepsi Center,
Tue Feb 12 2019,7:30p,Los Angeles Lakers,113,Atlanta Hawks,117,Box Score,,16824,State Farm Arena,
Tue Feb 12 2019,8:00p,San Antonio Spurs,108,Memphis Grizzlies,107,Box Score,,13788,FedEx Forum,
Tue Feb 12 2019,8:00p,Orlando Magic,118,New Orleans Pelicans,88,Box Score,,15733,Smoothie King Center,
Tue Feb 12 2019,8:00p,Boston Celtics,112,Philadelphia 76ers,109,Box Score,,20582,Wells Fargo Center,
Tue Feb 12 2019,10:30p,Utah Jazz,108,Golden State Warriors,115,Box Score,,19596,Oracle Arena,
