Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Wed May 5 2021,7:30p,Portland Trail Blazers,141,Cleveland Cavaliers,105,Box Score,,4148,Rocket Mortgage Fieldhouse,
Wed May 5 2021,8:00p,Phoenix Suns,103,Atlanta Hawks,135,Box Score,,3205,State Farm Arena,
Wed May 5 2021,8:00p,Philadelphia 76ers,135,Houston Rockets,115,Box Score,,3583,Toyota Center,
Wed May 5 2021,8:00p,Sacramento Kings,104,Indiana Pacers,93,Box Score,,0,Bankers Life Fieldhouse,
Wed May 5 2021,8:00p,Washington Wizards,134,Milwaukee Bucks,135,Box Score,,3280,Fiserv Forum,
Wed May 5 2021,8:00p,Memphis Grizzlies,139,Minnesota Timberwolves,135,Box Score,,1436,Target Center,
Wed May 5 2021,9:00p,New York Knicks,97,Denver Nuggets,113,Box Score,,4038,Ball Arena,
Wed May 5 2021,9:00p,San Antonio Spurs,94,Utah Jazz,126,Box Score,,6506,Vivint Smart Home Arena,
Thu May 6 2021,7:00p,Chicago Bulls,120,Charlotte Hornets,99,Box Score,,3769,Spectrum Center,
Thu May 6 2021,7:30p,Brooklyn Nets,109,Dallas Mavericks,113,Box Score,,4602,American Airlines Center,
Thu May 6 2021,7:30p,Washington Wizards,131,Toronto Raptors,129,Box Score,OT,2494,Amalie Arena,
Thu May 6 2021,8:00p,Memphis Grizzlies,97,Detroit Pistons,111,Box Score,,750,Little Caesars Arena,
Thu May 6 2021,8:00p,Atlanta Hawks,126,Indiana Pacers,133,Box Score,,0,Bankers Life Fieldhouse,
Thu May 6 2021,10:00p,Oklahoma City Thunder,97,Golden State Warriors,118,Box Score,,3621,Chase Center,
Thu May 6 2021,10:00p,Los Angeles Lakers,94,Los Angeles Clippers,118,Box Score,,3275,STAPLES Center,
Fri May 7 2021,7:00p,New Orleans Pelicans,107,Philadelphia 76ers,109,Box Score,,5119,Wells Fargo Center,
Fri May 7 2021,7:30p,Boston Celtics,99,Chicago Bulls,121,Box Score,,3399,United Center,
Fri May 7 2021,8:00p,Orlando Magic,112,Charlotte Hornets,122,Box Score,,3751,Spectrum Center,
Fri May 7 2021,8:00p,Minnesota Timberwolves,112,Miami Heat,121,Box Score,,0,AmericanAirlines Arena,
Fri May 7 2021,8:00p,Houston Rockets,133,Milwaukee Bucks,141,Box Score,,3280,Fiserv Forum,
Fri May 7 2021,8:30p,Cleveland Cavaliers,90,Dallas Mavericks,110,Box Score,,4220,American Airlines Center,
Fri May 7 2021,9:00p,Denver Nuggets,120,Utah Jazz,127,Box Score,,6506,Vivint Smart Home Arena,
Fri May 7 2021,10:00p,New York Knicks,105,Phoenix Suns,128,Box Score,,8063,Phoenix Suns Arena,
Fri May 7 2021,10:00p,Los Angeles Lakers,101,Portland Trail Blazers,106,Box Score,,0,Moda Center,
Fri May 7 2021,10:00p,San Antonio Spurs,113,Sacramento Kings,104,Box Score,,0,Golden 1 Center,
Sat May 8 2021,7:00p,Washington Wizards,133,Indiana Pacers,132,Box Score,OT,0,Bankers Life Fieldhouse,
Sat May 8 2021,7:00p,Detroit Pistons,104,Philadelphia 76ers,118,Box Score,,5119,Wells Fargo Center,
Sat May 8 2021,7:30p,Memphis Grizzlies,109,Toronto Raptors,99,Box Score,,0,Amalie Arena,
Sat May 8 2021,10:00p,Brooklyn Nets,125,Denver Nuggets,119,Box Score,,4044,Ball Arena,
Sat May 8 2021,10:00p,Oklahoma City Thunder,97,Golden State Warriors,136,Box Score,,4155,Chase Center,
Sat May 8 2021,10:00p,San Antonio Spurs,102,Portland Trail Blazers,124,Box Score,,1939,Moda Center,
Sat May 8 2021,10:00p,Houston Rockets,116,Utah Jazz,124,Box Score,,6506,Vivint Smart Home Arena,
Sun May 9 2021,1:00p,Miami Heat,130,Boston Celtics,124,Box Score,,2298,TD Garden,
Sun May 9 2021,3:30p,New York Knicks,106,Los Angeles Clippers,100,Box Score,,2578,STAPLES Center,
Sun May 9 2021,7:00p,New Orleans Pelicans,112,Charlotte Hornets,110,Box Score,,4196,Spectrum Center,
Sun May 9 2021,7:00p,Dallas Mavericks,124,Cleveland Cavaliers,97,Box Score,,4148,Rocket Mortgage Fieldhouse,
Sun May 9 2021,7:00p,Minnesota Timberwolves,128,Orlando Magic,96,Box Score,,4086,Amway Center,
Sun May 9 2021,8:00p,Chicago Bulls,108,Detroit Pistons,96,Box Score,,750,Little Caesars Arena,
Sun May 9 2021,10:00p,Phoenix Suns,110,Los Angeles Lakers,123,Box Score,,3144,STAPLES Center,
Sun May 9 2021,10:00p,Oklahoma City Thunder,98,Sacramento Kings,126,Box Score,,0,Golden 1 Center,
Mon May 10 2021,7:30p,Washington Wizards,124,Atlanta Hawks,125,Box Score,,3054,State Farm Arena,
Mon May 10 2021,7:30p,Indiana Pacers,111,Cleveland Cavaliers,102,Box Score,,4148,Rocket Mortgage Fieldhouse,
Mon May 10 2021,8:00p,New Orleans Pelicans,110,Memphis Grizzlies,115,Box Score,,2507,FedEx Forum,
Mon May 10 2021,8:30p,Milwaukee Bucks,125,San Antonio Spurs,146,Box Score,,3992,AT&T Center,
Mon May 10 2021,10:00p,Utah Jazz,116,Golden State Warriors,119,Box Score,,4155,Chase Center,
Mon May 10 2021,10:00p,Houston Rockets,129,Portland Trail Blazers,140,Box Score,,1939,Moda Center,
Tue May 11 2021,7:00p,Denver Nuggets,117,Charlotte Hornets,112,Box Score,,3997,Spectrum Center,
Tue May 11 2021,7:00p,Minnesota Timberwolves,119,Detroit Pistons,100,Box Score,,750,Little Caesars Arena,
Tue May 11 2021,7:30p,Miami Heat,129,Boston Celtics,121,Box Score,,4789,TD Garden,
Tue May 11 2021,7:30p,Los Angeles Clippers,115,Toronto Raptors,96,Box Score,,0,Amalie Arena,
Tue May 11 2021,8:00p,Brooklyn Nets,115,Chicago Bulls,107,Box Score,,3434,United Center,
Tue May 11 2021,8:00p,Philadelphia 76ers,94,Indiana Pacers,103,Box Score,,0,Bankers Life Fieldhouse,
Tue May 11 2021,8:00p,Dallas Mavericks,104,Memphis Grizzlies,133,Box Score,,2684,FedEx Forum,
Tue May 11 2021,9:00p,Orlando Magic,102,Milwaukee Bucks,114,Box Score,,3280,Fiserv Forum,
Tue May 11 2021,10:00p,Phoenix Suns,116,Golden State Warriors,122,Box Score,,4155,Chase Center,
Tue May 11 2021,10:00p,New York Knicks,99,Los Angeles Lakers,101,Box Score,OT,3550,STAPLES Center,
Tue May 11 2021,10:00p,Oklahoma City Thunder,106,Sacramento Kings,122,Box Score,,0,Golden 1 Center,
Wed May 12 2021,7:00p,Washington Wizards,116,Atlanta Hawks,120,Box Score,,3120,State Farm Arena,
Wed May 12 2021,8:00p,San Antonio Spurs,116,Brooklyn Nets,128,Box Score,,1773,Barclays Center,
Wed May 12 2021,8:00p,Boston Celtics,94,Cleveland Cavaliers,102,Box Score,,4148,Rocket Mortgage Fieldhouse,
Wed May 12 2021,9:00p,New Orleans Pelicans,107,Dallas Mavericks,125,Box Score,,4373,American Airlines Center,
Wed May 12 2021,9:30p,Portland Trail Blazers,105,Utah Jazz,98,Box Score,,6506,Vivint Smart Home Arena,
Wed May 12 2021,10:30p,Houston Rockets,122,Los Angeles Lakers,124,Box Score,,4087,STAPLES Center,
