Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Sun Mar 8 2020,3:30p,Los Angeles Lakers,112,Los Angeles Clippers,103,Box Score,,19068,STAPLES Center,
Sun Mar 8 2020,6:00p,Oklahoma City Thunder,105,Boston Celtics,104,Box Score,,19156,TD Garden,
Sun Mar 8 2020,6:00p,Milwaukee Bucks,131,Phoenix Suns,140,Box Score,,17282,Talking Stick Resort Arena,
Sun Mar 8 2020,7:00p,Miami Heat,100,Washington Wizards,89,Box Score,,18135,Capital One Arena,
Sun Mar 8 2020,7:00p,Indiana Pacers,112,Dallas Mavericks,109,Box Score,,20324,American Airlines Center,
Sun Mar 8 2020,7:00p,Orlando Magic,126,Houston Rockets,106,Box Score,,18055,Toyota Center,
Sun Mar 8 2020,7:30p,Detroit Pistons,84,New York Knicks,96,Box Score,,18361,Madison Square Garden (IV),
Sun Mar 8 2020,7:30p,San Antonio Spurs,129,Cleveland Cavaliers,132,Box Score,OT,17995,Rocket Mortgage Fieldhouse,
Sun Mar 8 2020,9:00p,Toronto Raptors,118,Sacramento Kings,113,Box Score,,16449,Golden 1 Center,
Mon Mar 9 2020,7:30p,Charlotte Hornets,138,Atlanta Hawks,143,Box Score,2OT,14399,State Farm Arena,
Mon Mar 9 2020,9:00p,Milwaukee Bucks,95,Denver Nuggets,109,Box Score,,19838,Pepsi Center,
Mon Mar 9 2020,9:00p,Toronto Raptors,101,Utah Jazz,92,Box Score,,18306,Vivint Smart Home Arena,
Tue Mar 10 2020,7:00p,New York Knicks,115,Washington Wizards,122,Box Score,,15048,Capital One Arena,
Tue Mar 10 2020,7:00p,Boston Celtics,114,Indiana Pacers,111,Box Score,,17053,Bankers Life Fieldhouse,
Tue Mar 10 2020,8:00p,Minnesota Timberwolves,111,Houston Rockets,117,Box Score,,18055,Toyota Center,
Tue Mar 10 2020,8:00p,Dallas Mavericks,109,San Antonio Spurs,119,Box Score,,18354,AT&T Center,
Tue Mar 10 2020,8:00p,Orlando Magic,120,Memphis Grizzlies,115,Box Score,,15388,FedEx Forum,
Tue Mar 10 2020,8:00p,Cleveland Cavaliers,103,Chicago Bulls,108,Box Score,,17837,United Center,
Tue Mar 10 2020,10:00p,Phoenix Suns,105,Portland Trail Blazers,121,Box Score,,19393,Moda Center,
Tue Mar 10 2020,10:30p,Brooklyn Nets,104,Los Angeles Lakers,102,Box Score,,18997,STAPLES Center,
Tue Mar 10 2020,10:30p,Los Angeles Clippers,131,Golden State Warriors,107,Box Score,,18064,Chase Center,
Wed Mar 11 2020,7:00p,Detroit Pistons,106,Philadelphia 76ers,124,Box Score,,20172,Wells Fargo Center,
Wed Mar 11 2020,7:30p,New York Knicks,136,Atlanta Hawks,131,Box Score,OT,15393,State Farm Arena,
Wed Mar 11 2020,7:30p,Charlotte Hornets,109,Miami Heat,98,Box Score,,19600,AmericanAirlines Arena,
Wed Mar 11 2020,8:00p,Denver Nuggets,97,Dallas Mavericks,113,Box Score,,20302,American Airlines Center,
