Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Fri Nov 1 2019,7:00p,Houston Rockets,116,Brooklyn Nets,123,Box Score,,17732,Barclays Center,
Fri Nov 1 2019,7:00p,Cleveland Cavaliers,95,Indiana Pacers,102,Box Score,,16079,Bankers Life Fieldhouse,
Fri Nov 1 2019,7:00p,Milwaukee Bucks,123,Orlando Magic,91,Box Score,,15105,Amway Center,
Fri Nov 1 2019,7:30p,New York Knicks,102,Boston Celtics,104,Box Score,,18624,TD Garden,
Fri Nov 1 2019,8:00p,Detroit Pistons,106,Chicago Bulls,112,Box Score,,20671,United Center,
Fri Nov 1 2019,9:30p,Los Angeles Lakers,119,Dallas Mavericks,110,Box Score,OT,20358,American Airlines Center,
Fri Nov 1 2019,10:00p,Utah Jazz,101,Sacramento Kings,102,Box Score,,16273,Golden 1 Center,
Fri Nov 1 2019,10:30p,San Antonio Spurs,127,Golden State Warriors,110,Box Score,,18064,Chase Center,
Sat Nov 2 2019,5:00p,New Orleans Pelicans,104,Oklahoma City Thunder,115,Box Score,,18203,Chesapeake Energy Arena,
Sat Nov 2 2019,7:00p,Brooklyn Nets,109,Detroit Pistons,113,Box Score,,17222,Little Caesars Arena,
Sat Nov 2 2019,7:00p,Denver Nuggets,91,Orlando Magic,87,Box Score,,17025,Amway Center,
Sat Nov 2 2019,8:00p,Phoenix Suns,114,Memphis Grizzlies,105,Box Score,,14144,FedEx Forum,
Sat Nov 2 2019,8:00p,Toronto Raptors,105,Milwaukee Bucks,115,Box Score,,17637,Fiserv Forum,
Sat Nov 2 2019,8:00p,Minnesota Timberwolves,131,Washington Wizards,109,Box Score,,15150,Capital One Arena,
Sat Nov 2 2019,8:30p,Charlotte Hornets,93,Golden State Warriors,87,Box Score,,18064,Chase Center,
Sat Nov 2 2019,10:00p,Philadelphia 76ers,129,Portland Trail Blazers,128,Box Score,,19669,Moda Center,
Sun Nov 3 2019,5:00p,Chicago Bulls,95,Indiana Pacers,108,Box Score,,17073,Bankers Life Fieldhouse,
Sun Nov 3 2019,6:00p,Houston Rockets,100,Miami Heat,129,Box Score,,19724,AmericanAirlines Arena,
Sun Nov 3 2019,6:00p,Sacramento Kings,113,New York Knicks,92,Box Score,,19812,Madison Square Garden (IV),
Sun Nov 3 2019,7:00p,Los Angeles Lakers,103,San Antonio Spurs,96,Box Score,,18610,AT&T Center,
Sun Nov 3 2019,7:30p,Dallas Mavericks,131,Cleveland Cavaliers,111,Box Score,,18078,Rocket Mortgage Fieldhouse,
Sun Nov 3 2019,9:00p,Utah Jazz,94,Los Angeles Clippers,105,Box Score,,19068,STAPLES Center,
Mon Nov 4 2019,7:00p,Detroit Pistons,99,Washington Wizards,115,Box Score,,13052,Capital One Arena,
Mon Nov 4 2019,7:30p,New Orleans Pelicans,125,Brooklyn Nets,135,Box Score,,17194,Barclays Center,
Mon Nov 4 2019,8:00p,Houston Rockets,107,Memphis Grizzlies,100,Box Score,,14197,FedEx Forum,
Mon Nov 4 2019,8:00p,Milwaukee Bucks,134,Minnesota Timberwolves,106,Box Score,,16271,Target Center,
Mon Nov 4 2019,9:00p,Philadelphia 76ers,109,Phoenix Suns,114,Box Score,,14285,Talking Stick Resort Arena,
Mon Nov 4 2019,10:30p,Portland Trail Blazers,118,Golden State Warriors,127,Box Score,,18064,Chase Center,
Tue Nov 5 2019,7:00p,Indiana Pacers,120,Charlotte Hornets,122,Box Score,OT,13341,Spectrum Center,
Tue Nov 5 2019,7:00p,Boston Celtics,119,Cleveland Cavaliers,113,Box Score,,17709,Rocket Mortgage Fieldhouse,
