Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Sun Aug 9 2020,9:00p,Brooklyn Nets,129,Los Angeles Clippers,120,Box Score,,,The Arena,
Mon Aug 10 2020,2:30p,Oklahoma City Thunder,101,Phoenix Suns,128,Box Score,,,HP Field House,
Mon Aug 10 2020,3:00p,Dallas Mavericks,122,Utah Jazz,114,Box Score,,,The Arena,
Mon Aug 10 2020,6:30p,Toronto Raptors,114,Milwaukee Bucks,106,Box Score,,,HP Field House,
Mon Aug 10 2020,8:00p,Indiana Pacers,92,Miami Heat,114,Box Score,,,Visa Athletic Center,
Mon Aug 10 2020,9:00p,Denver Nuggets,121,Los Angeles Lakers,124,Box Score,,,The Arena,
Tue Aug 11 2020,1:00p,Brooklyn Nets,108,Orlando Magic,96,Box Score,,,The Arena,
Tue Aug 11 2020,2:00p,Houston Rockets,105,San Antonio Spurs,123,Box Score,,,HP Field House,
Tue Aug 11 2020,4:30p,Phoenix Suns,130,Philadelphia 76ers,117,Box Score,,,Visa Athletic Center,
Tue Aug 11 2020,5:00p,Boston Celtics,122,Memphis Grizzlies,107,Box Score,,,The Arena,
Tue Aug 11 2020,6:30p,Portland Trail Blazers,134,Dallas Mavericks,131,Box Score,,,HP Field House,
Tue Aug 11 2020,9:00p,New Orleans Pelicans,106,Sacramento Kings,112,Box Score,,,The Arena,
Tue Aug 11 2020,9:00p,Milwaukee Bucks,126,Washington Wizards,113,Box Score,,,Visa Athletic Center,
Wed Aug 12 2020,4:00p,Indiana Pacers,108,Houston Rockets,104,Box Score,,,The Arena,
Wed Aug 12 2020,6:30p,Toronto Raptors,125,Philadelphia 76ers,121,Box Score,,,HP Field House,
Wed Aug 12 2020,8:00p,Miami Heat,115,Oklahoma City Thunder,116,Box Score,,,Visa Athletic Center,
Wed Aug 12 2020,9:00p,Los Angeles Clippers,124,Denver Nuggets,111,Box Score,,,The Arena,
Thu Aug 13 2020,12:00p,Washington Wizards,96,Boston Celtics,90,Box Score,,,The Arena,
Thu Aug 13 2020,1:30p,Sacramento Kings,136,Los Angeles Lakers,122,Box Score,,,HP Field House,
Thu Aug 13 2020,4:00p,Milwaukee Bucks,106,Memphis Grizzlies,119,Box Score,,,Visa Athletic Center,
Thu Aug 13 2020,4:00p,Dallas Mavericks,102,Phoenix Suns,128,Box Score,,,The Arena,
Thu Aug 13 2020,6:30p,San Antonio Spurs,112,Utah Jazz,118,Box Score,,,HP Field House,
Thu Aug 13 2020,9:00p,Portland Trail Blazers,134,Brooklyn Nets,133,Box Score,,,The Arena,
Thu Aug 13 2020,9:00p,New Orleans Pelicans,127,Orlando Magic,133,Box Score,,,Visa Athletic Center,
Fri Aug 14 2020,1:30p,Denver Nuggets,109,Toronto Raptors,117,Box Score,,,HP Field House,
Fri Aug 14 2020,4:00p,Miami Heat,92,Indiana Pacers,109,Box Score,,,The Arena,
Fri Aug 14 2020,6:30p,Oklahoma City Thunder,103,Los Angeles Clippers,107,Box Score,OT,,HP Field House,
Fri Aug 14 2020,9:00p,Philadelphia 76ers,134,Houston Rockets,96,Box Score,,,The Arena,
Sat Aug 15 2020,2:30p,Memphis Grizzlies,122,Portland Trail Blazers,126,Box Score,,,HP Field House,Play-In Game
Mon Aug 17 2020,1:30p,Utah Jazz,125,Denver Nuggets,135,Box Score,OT,,HP Field House,
Mon Aug 17 2020,4:00p,Brooklyn Nets,110,Toronto Raptors,134,Box Score,,,The Arena,
Mon Aug 17 2020,6:30p,Philadelphia 76ers,101,Boston Celtics,109,Box Score,,,HP Field House,
Mon Aug 17 2020,9:00p,Dallas Mavericks,110,Los Angeles Clippers,118,Box Score,,,The Arena,
Tue Aug 18 2020,1:30p,Orlando Magic,122,Milwaukee Bucks,110,Box Score,,,HP Field House,
Tue Aug 18 2020,4:00p,Miami Heat,113,Indiana Pacers,101,Box Score,,,The Arena,
Tue Aug 18 2020,6:30p,Oklahoma City Thunder,108,Houston Rockets,123,Box Score,,,HP Field House,
Tue Aug 18 2020,9:00p,Portland Trail Blazers,100,Los Angeles Lakers,93,Box Score,,,The Arena,
Wed Aug 19 2020,1:30p,Brooklyn Nets,99,Toronto Raptors,104,Box Score,,,HP Field House,
Wed Aug 19 2020,4:00p,Utah Jazz,124,Denver Nuggets,105,Box Score,,,The Arena,
Wed Aug 19 2020,6:30p,Philadelphia 76ers,101,Boston Celtics,128,Box Score,,,HP Field House,
Wed Aug 19 2020,9:00p,Dallas Mavericks,127,Los Angeles Clippers,114,Box Score,,,The Arena,
Thu Aug 20 2020,1:00p,Miami Heat,109,Indiana Pacers,100,Box Score,,,HP Field House,
Thu Aug 20 2020,3:30p,Oklahoma City Thunder,98,Houston Rockets,111,Box Score,,,The Arena,
Thu Aug 20 2020,6:00p,Orlando Magic,96,Milwaukee Bucks,111,Box Score,,,HP Field House,
Thu Aug 20 2020,9:00p,Portland Trail Blazers,88,Los Angeles Lakers,111,Box Score,,,The Arena,
Fri Aug 21 2020,1:30p,Toronto Raptors,117,Brooklyn Nets,92,Box Score,,,HP Field House,
Fri Aug 21 2020,4:00p,Denver Nuggets,87,Utah Jazz,124,Box Score,,,The Arena,
Fri Aug 21 2020,6:30p,Boston Celtics,102,Philadelphia 76ers,94,Box Score,,,HP Field House,
Fri Aug 21 2020,9:00p,Los Angeles Clippers,130,Dallas Mavericks,122,Box Score,,,The Arena,
Sat Aug 22 2020,1:00p,Milwaukee Bucks,121,Orlando Magic,107,Box Score,,,HP Field House,
Sat Aug 22 2020,3:30p,Indiana Pacers,115,Miami Heat,124,Box Score,,,The Arena,
Sat Aug 22 2020,6:00p,Houston Rockets,107,Oklahoma City Thunder,119,Box Score,OT,,HP Field House,
Sat Aug 22 2020,8:30p,Los Angeles Lakers,116,Portland Trail Blazers,108,Box Score,,,The Arena,
Sun Aug 23 2020,1:00p,Boston Celtics,110,Philadelphia 76ers,106,Box Score,,,HP Field House,
Sun Aug 23 2020,3:30p,Los Angeles Clippers,133,Dallas Mavericks,135,Box Score,OT,,The Arena,
Sun Aug 23 2020,6:30p,Toronto Raptors,150,Brooklyn Nets,122,Box Score,,,HP Field House,
Sun Aug 23 2020,9:00p,Denver Nuggets,127,Utah Jazz,129,Box Score,,,The Arena,
Mon Aug 24 2020,1:30p,Milwaukee Bucks,121,Orlando Magic,106,Box Score,,,HP Field House,
Mon Aug 24 2020,4:00p,Houston Rockets,114,Oklahoma City Thunder,117,Box Score,,,The Arena,
Mon Aug 24 2020,6:30p,Indiana Pacers,87,Miami Heat,99,Box Score,,,HP Field House,
Mon Aug 24 2020,9:00p,Los Angeles Lakers,135,Portland Trail Blazers,115,Box Score,,,The Arena,
Tue Aug 25 2020,6:30p,Utah Jazz,107,Denver Nuggets,117,Box Score,,,HP Field House,
Tue Aug 25 2020,9:00p,Dallas Mavericks,111,Los Angeles Clippers,154,Box Score,,,The Arena,
Sat Aug 29 2020,3:30p,Orlando Magic,104,Milwaukee Bucks,118,Box Score,,,The Arena,
Sat Aug 29 2020,6:30p,Oklahoma City Thunder,80,Houston Rockets,114,Box Score,,,HP Field House,
Sat Aug 29 2020,9:00p,Portland Trail Blazers,122,Los Angeles Lakers,131,Box Score,,,The Arena,
Sun Aug 30 2020,1:00p,Boston Celtics,112,Toronto Raptors,94,Box Score,,,HP Field House,
Sun Aug 30 2020,3:30p,Los Angeles Clippers,111,Dallas Mavericks,97,Box Score,,,The Arena,
Sun Aug 30 2020,8:30p,Denver Nuggets,119,Utah Jazz,107,Box Score,,,The Arena,
Mon Aug 31 2020,6:30p,Miami Heat,115,Milwaukee Bucks,104,Box Score,,,HP Field House,
Mon Aug 31 2020,9:00p,Houston Rockets,100,Oklahoma City Thunder,104,Box Score,,,The Arena,
