Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Sat Feb 1 2020,3:30p,Minnesota Timberwolves,106,Los Angeles Clippers,118,Box Score,,19068,STAPLES Center,
Sat Feb 1 2020,7:00p,New York Knicks,92,Indiana Pacers,85,Box Score,,17923,Bankers Life Fieldhouse,
Sat Feb 1 2020,7:00p,Miami Heat,102,Orlando Magic,89,Box Score,,18846,Amway Center,
Sat Feb 1 2020,8:00p,Golden State Warriors,131,Cleveland Cavaliers,112,Box Score,,18410,Rocket Mortgage Fieldhouse,
Sat Feb 1 2020,8:00p,Brooklyn Nets,107,Washington Wizards,113,Box Score,,18196,Capital One Arena,
Sat Feb 1 2020,8:30p,Philadelphia 76ers,95,Boston Celtics,116,Box Score,,19156,TD Garden,
Sat Feb 1 2020,8:30p,Atlanta Hawks,100,Dallas Mavericks,123,Box Score,,20328,American Airlines Center,
Sat Feb 1 2020,9:00p,Charlotte Hornets,90,San Antonio Spurs,114,Box Score,,18615,AT&T Center,
Sat Feb 1 2020,10:00p,Los Angeles Lakers,129,Sacramento Kings,113,Box Score,,17583,Golden 1 Center,
Sat Feb 1 2020,10:30p,Utah Jazz,107,Portland Trail Blazers,124,Box Score,,19603,Moda Center,
Sun Feb 2 2020,12:30p,Denver Nuggets,123,Detroit Pistons,128,Box Score,OT,15488,Little Caesars Arena,
Sun Feb 2 2020,2:00p,New Orleans Pelicans,109,Houston Rockets,117,Box Score,,18055,Toyota Center,
Sun Feb 2 2020,2:00p,Phoenix Suns,108,Milwaukee Bucks,129,Box Score,,17754,Fiserv Forum,
Sun Feb 2 2020,3:00p,Chicago Bulls,102,Toronto Raptors,129,Box Score,,19800,Scotiabank Arena,
Mon Feb 3 2020,7:00p,Orlando Magic,112,Charlotte Hornets,100,Box Score,,12337,Spectrum Center,
Mon Feb 3 2020,7:00p,New York Knicks,139,Cleveland Cavaliers,134,Box Score,OT,16303,Rocket Mortgage Fieldhouse,
Mon Feb 3 2020,7:00p,Dallas Mavericks,112,Indiana Pacers,103,Box Score,,15086,Bankers Life Fieldhouse,
Mon Feb 3 2020,7:00p,Golden State Warriors,125,Washington Wizards,117,Box Score,,17120,Capital One Arena,
Mon Feb 3 2020,7:30p,Boston Celtics,123,Atlanta Hawks,115,Box Score,,16231,State Farm Arena,
Mon Feb 3 2020,7:30p,Phoenix Suns,97,Brooklyn Nets,119,Box Score,,14891,Barclays Center,
Mon Feb 3 2020,7:30p,Philadelphia 76ers,106,Miami Heat,137,Box Score,,19725,AmericanAirlines Arena,
Mon Feb 3 2020,8:00p,Detroit Pistons,82,Memphis Grizzlies,96,Box Score,,14597,FedEx Forum,
Mon Feb 3 2020,10:00p,Minnesota Timberwolves,109,Sacramento Kings,113,Box Score,,15819,Golden 1 Center,
Mon Feb 3 2020,10:30p,San Antonio Spurs,105,Los Angeles Clippers,108,Box Score,,19068,STAPLES Center,
Tue Feb 4 2020,7:30p,Milwaukee Bucks,120,New Orleans Pelicans,108,Box Score,,15424,Smoothie King Center,
Tue Feb 4 2020,8:00p,Charlotte Hornets,110,Houston Rockets,125,Box Score,,18055,Toyota Center,
Tue Feb 4 2020,9:00p,Portland Trail Blazers,99,Denver Nuggets,127,Box Score,,19520,Pepsi Center,
Tue Feb 4 2020,10:00p,San Antonio Spurs,102,Los Angeles Lakers,129,Box Score,,18997,STAPLES Center,
Wed Feb 5 2020,7:00p,Phoenix Suns,108,Detroit Pistons,116,Box Score,,13707,Little Caesars Arena,
Wed Feb 5 2020,7:30p,Orlando Magic,100,Boston Celtics,116,Box Score,,19156,TD Garden,
Wed Feb 5 2020,7:30p,Golden State Warriors,88,Brooklyn Nets,129,Box Score,,14352,Barclays Center,
Wed Feb 5 2020,7:30p,Indiana Pacers,118,Toronto Raptors,119,Box Score,,19800,Scotiabank Arena,
Wed Feb 5 2020,8:00p,Atlanta Hawks,127,Minnesota Timberwolves,120,Box Score,,10779,Target Center,
Wed Feb 5 2020,8:00p,Cleveland Cavaliers,103,Oklahoma City Thunder,109,Box Score,,18203,Chesapeake Energy Arena,
Wed Feb 5 2020,8:30p,Memphis Grizzlies,121,Dallas Mavericks,107,Box Score,,20069,American Airlines Center,
Wed Feb 5 2020,9:00p,Denver Nuggets,98,Utah Jazz,95,Box Score,,18306,Vivint Smart Home Arena,
Wed Feb 5 2020,10:00p,Miami Heat,111,Los Angeles Clippers,128,Box Score,,19068,STAPLES Center,
Thu Feb 6 2020,7:30p,Orlando Magic,103,New York Knicks,105,Box Score,,18895,Madison Square Garden (IV),
Thu Feb 6 2020,8:00p,New Orleans Pelicans,125,Chicago Bulls,119,Box Score,,18247,United Center,
Thu Feb 6 2020,8:00p,Philadelphia 76ers,101,Milwaukee Bucks,112,Box Score,,17928,Fiserv Forum,
Thu Feb 6 2020,10:00p,San Antonio Spurs,117,Portland Trail Blazers,125,Box Score,,19653,Moda Center,
Thu Feb 6 2020,10:30p,Houston Rockets,121,Los Angeles Lakers,111,Box Score,,18997,STAPLES Center,
Fri Feb 7 2020,7:00p,Memphis Grizzlies,107,Philadelphia 76ers,119,Box Score,,20779,Wells Fargo Center,
Fri Feb 7 2020,7:00p,Dallas Mavericks,118,Washington Wizards,119,Box Score,,20476,Capital One Arena,
Fri Feb 7 2020,7:30p,Atlanta Hawks,107,Boston Celtics,112,Box Score,,19156,TD Garden,
Fri Feb 7 2020,8:00p,Toronto Raptors,115,Indiana Pacers,106,Box Score,,17028,Bankers Life Fieldhouse,
Fri Feb 7 2020,8:00p,Detroit Pistons,101,Oklahoma City Thunder,108,Box Score,,18203,Chesapeake Energy Arena,
Fri Feb 7 2020,9:00p,Houston Rockets,91,Phoenix Suns,127,Box Score,,17043,Talking Stick Resort Arena,
Fri Feb 7 2020,10:00p,Miami Heat,97,Sacramento Kings,105,Box Score,,16760,Golden 1 Center,
Fri Feb 7 2020,10:30p,Portland Trail Blazers,114,Utah Jazz,117,Box Score,,18306,Vivint Smart Home Arena,
Sat Feb 8 2020,5:00p,Milwaukee Bucks,111,Orlando Magic,95,Box Score,,16632,Amway Center,
Sat Feb 8 2020,7:00p,Dallas Mavericks,116,Charlotte Hornets,100,Box Score,,19370,Spectrum Center,
Sat Feb 8 2020,7:00p,New York Knicks,95,Detroit Pistons,92,Box Score,,15980,Little Caesars Arena,
Sat Feb 8 2020,7:30p,New Orleans Pelicans,124,Indiana Pacers,117,Box Score,,17923,Bankers Life Fieldhouse,
Sat Feb 8 2020,7:30p,Brooklyn Nets,118,Toronto Raptors,119,Box Score,,19800,Scotiabank Arena,
Sat Feb 8 2020,8:00p,Los Angeles Clippers,115,Minnesota Timberwolves,142,Box Score,,18978,Target Center,
Sat Feb 8 2020,8:30p,Los Angeles Lakers,125,Golden State Warriors,120,Box Score,,18064,Chase Center,
Sat Feb 8 2020,9:00p,Denver Nuggets,117,Phoenix Suns,108,Box Score,,16843,Talking Stick Resort Arena,
Sat Feb 8 2020,10:00p,San Antonio Spurs,102,Sacramento Kings,122,Box Score,,16756,Golden 1 Center,
Sun Feb 9 2020,3:30p,Boston Celtics,112,Oklahoma City Thunder,111,Box Score,,18203,Chesapeake Energy Arena,
